key,latitude,longitude,jun,sep,dez
481,41.8620662,-87.6156744,720,540,356
482,41.8620662,-87.6144682,102,44,0
483,41.8620662,-87.6132619,6,0,0
484,41.8629645,-87.6398,0,0,0
485,41.8629645,-87.6385937,705,529,360
486,41.8629645,-87.6373874,36,31,0
487,41.8629645,-87.6361812,720,540,360
488,41.8629645,-87.6349749,67,28,50
489,41.8629645,-87.6337686,0,0,0
490,41.8629645,-87.6325623,0,0,0
491,41.8629645,-87.6313561,0,0,0
492,41.8629645,-87.6301498,245,219,74
493,41.8629645,-87.6289435,249,1,9
494,41.8629645,-87.6277372,719,540,360
495,41.8629645,-87.6265309,166,125,169
496,41.8629645,-87.6253247,19,106,146
497,41.8629645,-87.6241184,305,397,181
498,41.8629645,-87.6229121,227,157,206
499,41.8629645,-87.6217058,265,27,29
500,41.8629645,-87.6204996,720,540,360
501,41.8629645,-87.6192933,26,59,92
502,41.8629645,-87.618087,276,240,131
503,41.8629645,-87.6168807,720,540,360
504,41.8629645,-87.6156744,608,540,360
505,41.8629645,-87.6144682,72,49,55
506,41.8629645,-87.6132619,0,0,122
507,41.8638628,-87.6398,720,540,360
508,41.8638628,-87.6385937,206,90,111
509,41.8638628,-87.6373874,0,0,0
510,41.8638628,-87.6361812,0,0,260
511,41.8638628,-87.6349749,0,0,0
512,41.8638628,-87.6337686,0,0,0
513,41.8638628,-87.6325623,0,0,0
514,41.8638628,-87.6313561,0,0,0
515,41.8638628,-87.6301498,280,236,140
516,41.8638628,-87.6289435,327,168,78
517,41.8638628,-87.6277372,280,236,126
518,41.8638628,-87.6265309,429,251,229
519,41.8638628,-87.6253247,278,188,352
520,41.8638628,-87.6241184,563,449,268
521,41.8638628,-87.6229121,720,540,360
522,41.8638628,-87.6217058,720,540,360
523,41.8638628,-87.6204996,143,65,360
524,41.8638628,-87.6192933,42,0,11
525,41.8638628,-87.618087,310,232,136
526,41.8638628,-87.6168807,0,73,331
527,41.8638628,-87.6156744,720,540,360
528,41.8638628,-87.6144682,0,0,63
529,41.8638628,-87.6132619,0,0,0
530,41.8647612,-87.6398,0,0,0
531,41.8647612,-87.6385937,720,540,360
532,41.8647612,-87.6373874,0,0,0
533,41.8647612,-87.6361812,0,0,0
534,41.8647612,-87.6349749,0,0,0
535,41.8647612,-87.6337686,14,0,0
536,41.8647612,-87.6325623,24,0,0
537,41.8647612,-87.6313561,7,0,0
538,41.8647612,-87.6301498,0,296,194
539,41.8647612,-87.6289435,720,540,360
540,41.8647612,-87.6277372,340,276,166
541,41.8647612,-87.6265309,177,44,151
542,41.8647612,-87.6253247,720,540,360
543,41.8647612,-87.6241184,542,361,309
544,41.8647612,-87.6229121,720,540,360
545,41.8647612,-87.6217058,720,540,360
546,41.8647612,-87.6204996,720,540,360
547,41.8647612,-87.6192933,128,44,0
548,41.8647612,-87.618087,8,0,1
549,41.8647612,-87.6168807,0,0,0
550,41.8647612,-87.6156744,0,0,46
551,41.8647612,-87.6144682,14,0,43
552,41.8647612,-87.6132619,26,0,0
553,41.8656595,-87.6398,0,0,0
554,41.8656595,-87.6385937,0,0,0
555,41.8656595,-87.6373874,0,0,0
556,41.8656595,-87.6361812,720,540,360
557,41.8656595,-87.6349749,0,0,0
558,41.8656595,-87.6337686,0,0,0
559,41.8656595,-87.6325623,0,0,0
560,41.8656595,-87.6313561,26,0,0
561,41.8656595,-87.6301498,112,319,282
562,41.8656595,-87.6289435,50,410,315
563,41.8656595,-87.6277372,720,540,360
564,41.8656595,-87.6265309,224,190,116
565,41.8656595,-87.6253247,720,540,360
566,41.8656595,-87.6241184,423,494,325
567,41.8656595,-87.6229121,720,540,360
568,41.8656595,-87.6217058,702,540,360
569,41.8656595,-87.6204996,317,164,198
570,41.8656595,-87.6192933,117,23,58
571,41.8656595,-87.618087,67,0,0
572,41.8656595,-87.6168807,720,540,360
573,41.8656595,-87.6156744,58,0,0
574,41.8656595,-87.6144682,43,0,0
575,41.8656595,-87.6132619,6,0,0
576,41.8665578,-87.6398,87,70,70
577,41.8665578,-87.6385937,0,0,0
578,41.8665578,-87.6373874,0,0,0
579,41.8665578,-87.6361812,359,256,198
580,41.8665578,-87.6349749,0,0,0
581,41.8665578,-87.6337686,0,0,0
582,41.8665578,-87.6325623,0,0,0
583,41.8665578,-87.6313561,0,0,0
584,41.8665578,-87.6301498,349,311,208
585,41.8665578,-87.6289435,720,540,360
586,41.8665578,-87.6277372,720,540,360
587,41.8665578,-87.6265309,567,499,317
588,41.8665578,-87.6253247,720,540,360
589,41.8665578,-87.6241184,170,387,328
590,41.8665578,-87.6229121,720,540,360
591,41.8665578,-87.6217058,215,245,264
592,41.8665578,-87.6204996,184,149,175
593,41.8665578,-87.6192933,115,42,33
594,41.8665578,-87.618087,720,540,360
595,41.8665578,-87.6168807,720,540,360
596,41.8665578,-87.6156744,106,85,89
597,41.8665578,-87.6144682,55,120,152
598,41.8665578,-87.6132619,0,0,0
599,41.8674561,-87.6398,720,540,360
600,41.8674561,-87.6385937,720,540,360
601,41.8674561,-87.6373874,0,0,0
602,41.8674561,-87.6361812,99,55,81
603,41.8674561,-87.6349749,0,0,0
604,41.8674561,-87.6337686,76,0,0
605,41.8674561,-87.6325623,153,0,0
606,41.8674561,-87.6313561,77,0,0
607,41.8674561,-87.6301498,7,0,0
608,41.8674561,-87.6289435,43,0,0
609,41.8674561,-87.6277372,82,31,97
